				Main Stats										TM #																
Will-O-Wisp	261	Fire	Status	15	24	0	85%	None	0	Selected								61	61	61	61	61	61		11	38		61		107
Memento	262	Dark	Status	10	16	0	100%	None	0	Selected	Lowers Foe's Atk and Sp. Atk by 2; User Faints		100%																	
Facade	263	Normal	Physical	20	32	70	100%	4.17	0	Selected	100% Damage if User is Statused; Ignores Burn Damage Reduction		100%			42	42	42	42	42	42	42	42		42	42	42	42		42
Focus Punch	264	Fighting	Physical	20	32	150	100%	4.17	-3	Selected	User Flinches if Hit Before Attack		100%			1	1	1	1									1		192
Smelling Salts	265	Normal	Physical	10	16	70	100%	4.17	0	Selected																				
Follow Me	266	Normal	Status	20	32	0	101%	None	2	Selected	User Recieves Attacks Rather Than Allies		100%																	
Nature Power	267	Normal	Status	20	32	0	101%	None	0	Selected	Changes Move Depending on Location		100%								96	96	96							
Charge	268	Electric	Status	20	32	0	101%	None	0	Selected	Raises User's Sp. Def by 1; User's Next Electric Attack does 100% Damage		100%																	172
Taunt	269	Dark	Status	20	32	0	100%	None	0	Selected						12	12	12	12	12	12	12	12		2		37	12		87
Helping Hand	270	Normal	Status	20	32	0	101%	None	5	Selected	Target's Next Move Deals 50% Damage		100%												3	41				130
Trick	271	Psychic	Status	10	16	0	100%	None	0	Selected																	38			109
Role Play	272	Psychic	Status	10	16	0	101%	None	0	Selected																				
Wish	273	Normal	Status	10	16	0	101%	None	0	Selected	Heals Pokemon in User's Position 50% HP After 1 Turn		100%																	
Assist	274	Normal	Status	20	32	0	101%	None	0	Self	Uses a Random Move Known by a Party Member		100%																	
Ingrain	275	Grass	Status	20	32	0	101%	None	0	Selected	Recovers 1/16 HP; Can Not Switch Out		100%																	
Superpower	276	Fighting	Physical	5	8	120	100%	4.17	0	Selected	Lowers User's Atk and Def by 1		100%												49		39			
Magic Coat	277	Psychic	Status	15	24	0	101%	None	4	Selected	Any Statuses or Stat Reductions Given by Foe Happen to Foe		100%																	
Recycle	278	Normal	Status	10	16	0	101%	None	0	Selected								67	67									67		
Revenge	279	Fighting	Physical	10	16	60	100%	4.17	-4	Selected																42				
Brick Break	280	Fighting	Physical	15	24	75	100%	4.17	0	Selected	Destroys All Screens		100%			31	31	31	31	31	31	31	31		13	43		31		58
Yawn	281	Normal	Status	10	16	0	101%	None	0	Selected																				
Knock Off	282	Dark	Physical	20	32	65	100%	4.17	0	Selected	Removes Foe's Held Item		100%																	181
Endeavor	283	Normal	Physical	5	8	0	100%	4.17	0	Selected	Reduces Foe's HP to Match the User's		100%																	205
Eruption	284	Fire	Special	5	8	150	100%	4.17	0	Adjacent Foes	BP = 120 * (Foe's HP / Foe's Max HP)		100%																	
Skill Swap	285	Psychic	Status	10	16	0	101%	None	0	Selected						48	48	48	48								40	48		98
Imprison	286	Psychic	Status	10	16	0	101%	None	0	Selected	Foe an Not Use Moves that the User Knows		100%													44				92
Refresh	287	Normal	Status	20	32	0	101%	None	0	Selected																				
Grudge	288	Ghost	Status	5	8	0	101%	None	0	Selected	If User Faints, Foe's Move that Knocked Out User Loses All PP		100%																	
Snatch	289	Dark	Status	10	16	0	101%	None	4	Selected						49	49	49	49											
Secret Power	290	Normal	Physical	20	32	70	100%	4.17	0	Selected	Different Effect Depending on Location					43	43	43	43			94								
Dive	291	Water	Physical	10	16	80	100%	4.17	0	Selected	User is Protected, then Attacks Next Turn		100%													45				
Arm Thrust	292	Fighting	Physical	20	32	15	100%	4.17	0	Selected	Hits 2-5 Times in a Row	37.5% for 2 37.5% for 3 12.5% for 4 12.5% for 5	--%																	
Camouflage	293	Normal	Status	20	32	0	101%	None	0	Selected	Changes User's Type Depending on Location		100%																	
Tail Glow	294	Bug	Status	20	32	0	101%	None	0	Selected	Raises User's Sp. Atk by 3		100%																	
Luster Purge	295	Psychic	Special	5	8	95	100%	4.17	0	Selected	Lowers Foe's Sp. Def by 1		50%																	
Mist Ball	296	Psychic	Special	5	8	95	100%	4.17	0	Selected	Lowers Foe's Sp. Atk by 1		50%																	
Feather Dance	297	Flying	Status	15	24	0	100%	None	0	Selected	Lowers Foe's Atk by 2		100%																	216
Teeter Dance	298	Normal	Status	20	32	0	100%	None	0	All Adjacent																				
Blaze Kick	299	Fire	Physical	10	16	85	90%	12.5	0	Selected	Burns Foe		10%														41			
Mud Sport	300	Ground	Status	15	24	0	101%	None	0	All	Electric-Type Moves do -67% Damage for 5 Turns		100%																	
Ice Ball	301	Ice	Physical	20	32	30	90%	4.17	0	Selected	Uses Same Move for 5 Turns; Power Raises Per Hit		100%																	
Needle Arm	302	Grass	Physical	15	24	60	100%	4.17	0	Selected	Flinches Foe		30%																	
Slack Off	303	Normal	Status	5	8	0	101%	None	0	Selected																				
Hyper Voice	304	Normal	Special	10	16	90	100%	4.17	0	Adjacent Foes																	42			117
Poison Fang	305	Poison	Physical	15	24	50	100%	4.17	0	Selected	Badly Poisons Foe		50%																	
Crush Claw	306	Normal	Physical	10	16	75	95%	4.17	0	Selected	Lowers Foe's Def by 1		50%																	
Blast Burn	307	Fire	Special	5	8	150	90%	4.17	0	Selected	User Can Not Attack Next Turn		100%																	153
Hydro Cannon	308	Water	Special	5	8	150	90%	4.17	0	Selected	User Can Not Attack Next Turn		100%																	154
Meteor Mash	309	Steel	Physical	10	16	90	90%	4.17	0	Selected	Raises User's Atk by 1		20%																	
Astonish	310	Ghost	Physical	15	24	30	100%	4.17	0	Selected	Flinches Foe		30%																	
Weather Ball	311	Normal	Special	10	16	50	100%	4.17	0	Selected																46				193
Aromatherapy	312	Grass	Status	5	8	0	101%	None	0	All Allies	Heals Party's Statuses		100%																	
Fake Tears	313	Dark	Status	20	32	0	100%	None	0	Selected	Lowers Foe's Sp. Def by 2		100%													47				
Air Cutter	314	Flying	Special	25	40	60	95%	12.5	0	Adjacent																				40
Overheat	315	Fire	Special	5	8	130	90%	4.17	0	Selected	Lowers User's Sp. Atk by 2		100%			50	50	50	50	50	50	50	50				43	50		157
Odor Sleuth	316	Normal	Status	40	64	0	101%	None	0	Selected	Ignores High Evasion; Ghost-Types Can be Hit with Normal-Type Moves		100%																	
Rock Tomb	317	Rock	Physical	15	24	60	95%	4.17	0	Selected	Lowers Foe's Spd by 1		100%			39	39			39	39	39	39			48				36
Silver Wind	318	Bug	Special	5	8	60	100%	4.17	0	Selected	Raises All of User's Stats by 1		10%					62	62											
Metal Sound	319	Steel	Status	40	64	0	85%	None	0	Selected	Lowers Foe's Sp. Def by 2		100%																	223
Grass Whistle	320	Grass	Status	15	24	0	55%	None	0	Selected	Sleeps Foe		100%																	
Tickle	321	Normal	Status	20	32	0	100%	None	0	Selected	Lowers Foe's Atk and Def by 1		100%																	
Cosmic Power	322	Psychic	Status	20	32	0	101%	None	0	Selected	Raises User's Def and Sp. Def by 1		100%														44			
Water Spout	323	Water	Special	5	8	150	100%	4.17	0	Adjacent Foes																				
Signal Beam	324	Bug	Special	15	24	75	100%	4.17	0	Selected	Confuses Foe		10%																	
Shadow Punch	325	Ghost	Physical	20	32	60	101%	4.17	0	Selected	Can Not Miss		100%																	
Extrasensory	326	Psychic	Special	20	32	80	100%	4.17	0	Selected	Flinches Foe		10%																	
Sky Uppercut	327	Fighting	Physical	15	24	85	90%	4.17	0	Selected																				
Sand Tomb	328	Ground	Physical	15	24	35	85%	4.17	0	Selected																49				176
Sheer Cold	329	Ice	Special	5	8	∞	30%	4.17	0	Selected	1-Hit KO	(Level Difference + 30)%	100%																	
Muddy Water	330	Water	Special	10	16	90	85%	4.17	0	Adjacent Foes	Lowers Foe's Accuracy by 1		30%														45			209
Bullet Seed	331	Grass	Physical	30	48	25	100%	4.17	0	Selected	HIts 2-5 Times		100%			9	9	9	9							50		9		56
Aerial Ace	332	Flying	Physical	20	32	60	101%	4.17	0	Selected	Can Not Miss		100%			40	40	40	40	40	40	40	40					40		27
Icicle Spear	333	Ice	Physical	30	48	25	100%	4.17	0	Selected	HIts 2-5 Times		100%													51				187
Iron Defense	334	Steel	Status	15	24	0	101%	None	0	Selected	Raises User's Def by 2		100%														46			104
Block	335	Normal	Status	5	8	0	101%	None	0	Selected	Traps Foe		100%																	
Howl	336	Normal	Status	40	64	0	101%	None	0	All Allies	Raises Team's Atk by 1		100%																	
Dragon Claw	337	Dragon	Physical	15	24	80	100%	4.17	0	Selected						2	2	2	2	2	2	2	2				47	2		78
Frenzy Plant	338	Grass	Special	5	8	150	90%	4.17	0	Selected	User Can Not Attack Next Turn		100%																	155
Bulk Up	339	Fighting	Status	20	32	0	101%	None	0	Selected	Raises User's Atk and Def by 1		100%			8	8	8	8	8	8	8	8		30		48	8		64
Bounce	340	Flying	Physical	5	8	85	85%	4.17	0	Selected	User is Protected, then Attacks Next Turn; Paralyzes Foe		30%													52				
Mud Shot	341	Ground	Special	15	24	55	95%	4.17	0	Selected	Lowers Foe's Spd by 1		100%													53				35
Poison Tail	342	Poison	Physical	25	40	50	100%	12.5	0	Selected	Poisons Foe		10%																	26
Covet	343	Normal	Physical	25	40	60	100%	4.17	0	Selected	Steals Foe's Held Item		100%																	
Volt Tackle	344	Electric	Physical	15	24	120	100%	4.17	0	Selected	33% Recoil; Paralyzes Foe		30%																	
Magical Leaf	345	Grass	Special	20	32	60	101%	4.17	0	Selected	Can Not Miss		100%													10				33
Water Sport	346	Water	Status	15	24	0	101%	None	0	All																				
Calm Mind	347	Psychic	Status	20	32	0	101%	None	0	Selected	Raises User's Sp. Atk and Sp. Def by 1		100%			4	4	4	4	4	4	4	4		33		49	4		129
Leaf Blade	348	Grass	Physical	15	24	90	100%	12.5	0	Selected																	50			
Dragon Dance	349	Dragon	Status	20	32	0	101%	None	0	Selected	Raises User's Atk and Spd by 1		100%														51			100
Rock Blast	350	Rock	Physical	10	16	25	90%	4.17	0	Selected	HIts 2-5 Times		100%													54				76
Shock Wave	351	Electric	Special	20	32	60	101%	4.17	0	Selected	Can Not Miss		100%			34	34	34	34									34		
Water Pulse	352	Water	Special	20	32	60	100%	4.17	0	Selected	Confuses Foe		20%			3	3	3	3									3		11
Doom Desire	353	Steel	Special	5	8	140	100%	4.17	0	Selected	Foe is Damaged After 2 Turns		100%																	
Psycho Boost	354	Psychic	Special	5	8	140	90%	4.17	0	Selected	Lowers User's Sp. Atk by 2		100%																	
Roost	355	Flying	Status	5	8	0	101%	None	0	Selected	Heals 50%; Loses Flying-Type That Turn		100%					51	51		19	19	19		50			51		
Gravity	356	Psychic	Status	5	8	0	101%	None	0	All	Removes Ground Immunity; Lowers All Pokemon's Evasion by 2		100%																	178
Miracle Eye	357	Psychic	Status	40	64	0	101%	None	0	Selected	Ignores High Evasion; Removes Psychic-Type's Immunity to Dark-Type		100%																	
Wake-Up Slap	358	Fighting	Physical	10	16	70	100%	4.17	0	Selected																				
Hammer Arm	359	Fighting	Physical	10	16	100	90%	4.17	0	Selected	Lowers User's Spd by 1		100%																	
Gyro Ball	360	Steel	Physical	5	8	0	100%	4.17	0	Selected	BP = FLOOR( (25 * Foe Speed / User Speed) + 1)		100%					74	74	74	74	74	74				52	74		180
Healing Wish	361	Psychic	Status	10	16	0	101%	None	0	Selected	Fully Heals a Party Ally; User Faints		100%																	
Brine	362	Water	Special	10	16	65	100%	4.17	0	Selected	100% Damage if Foe has Less Than 50% HP		100%					55	55							55		55		
Natural Gift	363	Normal	Physical	15	24	0	100%	4.17	0	Selected	Move Type and Power Depends on Berry Held by User		100%					83	83											
Feint	364	Normal	Physical	10	16	30	100%	4.17	2	Selected	Ignores and Removes Protect Moves		100%																	
Pluck	365	Flying	Physical	20	32	60	100%	4.17	0	Selected								88	88	88								88		
Tailwind	366	Flying	Status	15	24	0	101%	None	0	All Allies																				113
Acupressure	367	Normal	Status	30	48	0	101%	None	0	Self/Ally	Raises User's Random Stat by 2		100%																	
Metal Burst	368	Steel	Physical	10	16	0	100%	4.17	0	Selected	150% Damage to Foe Who Last Damaged user		100%																	
U-turn	369	Bug	Physical	20	32	70	100%	4.17	0	Selected								89	89	89	89	89	89		18	56		89		60
Close Combat	370	Fighting	Physical	5	8	120	100%	4.17	0	Selected	Lowers User's Def and Sp. Def by 1		100%														53			167
Payback	371	Dark	Physical	10	16	50	100%	4.17	0	Selected								66	66	66	66	66	66			57		66		
Assurance	372	Dark	Physical	10	16	60	100%	4.17	0	Selected	100% Damage if Target Already Recieved Damage This Turn		100%													58				
Embargo	373	Dark	Status	15	24	0	100%	None	0	Selected	Negates the Effect of Foe's Held Item for 5 Turns		100%					63	63	63	63	63	63							
Fling	374	Dark	Physical	10	16	0	100%	4.17	0	Selected	User Flings Its Held Item		100%					56	56	56	56	56	56			59		56		43
Psycho Shift	375	Psychic	Status	10	16	0	100%	None	0	Selected																				
Trump Card	376	Normal	Special	5	8	0	101%	4.17	0	Selected																				
Heal Block	377	Psychic	Status	15	24	0	100%	None	0	Adjacent Foes	Foe Can Not Use Healing Moves, Items, Abilities for 5 Turns		100%																	
Wring Out	378	Normal	Special	5	8	0	100%	4.17	0	Selected																				
Power Trick	379	Psychic	Status	10	16	0	101%	None	0	Selected																				
Gastro Acid	380	Poison	Status	10	16	0	100%	None	0	Selected	Negates Foe's Ability		100%																	
Lucky Chant	381	Normal	Status	30	48	0	101%	None	0	All Allies	Foe Can Not Deal Critical Hits for 5 Turns		100%																	
Me First	382	Normal	Status	20	32	0	101%	None	0	Selected	Uses Foe's Move; Fails if Foe Moves Faster		100%																	
Copycat	383	Normal	Status	20	32	0	101%	None	0	Selected	Uses Move Used Just Before		100%																	
Power Swap	384	Psychic	Status	10	16	0	101%	None	0	Selected																60				
Guard Swap	385	Psychic	Status	10	16	0	101%	None	0	Selected	Swaps Def and Sp. Def Stat with Foe		100%													61				
Punishment	386	Dark	Physical	5	8	0	100%	4.17	0	Selected																				
Last Resort	387	Normal	Physical	5	8	140	100%	4.17	0	Selected	Fails if User did Not Already Use its Other Moves		100%																	
Worry Seed	388	Grass	Status	10	16	0	100%	None	0	Selected																				
Sucker Punch	389	Dark	Physical	5	8	70	100%	4.17	1	Selected																				
Toxic Spikes	390	Poison	Status	20	32	0	101%	None	0	All Foes																	54			91
Heart Swap	391	Psychic	Status	10	16	0	101%	None	0	Selected	Swaps Stat Changes with Foe		100%																	
Aqua Ring	392	Water	Status	20	32	0	101%	None	0	Self	Heals 1/16 HP Every Turn		100%																	
Magnet Rise	393	Electric	Status	10	16	0	101%	None	0	Selected	User is Immune to Ground-Type Moves for 5 Turns		100%																	
Flare Blitz	394	Fire	Physical	15	24	120	100%	4.17	0	Selected	33% Recoil; Burns Foe		10%														55			165
Force Palm	395	Fighting	Physical	10	16	60	100%	4.17	0	Selected	Paralyzes Foe		30%																	
Aura Sphere	396	Fighting	Special	20	32	80	101%	4.17	0	Selected	Can Not Miss		100%														56			112
Rock Polish	397	Rock	Status	20	32	0	101%	None	0	Selected	Raises User's Spd by 2		100%					69	69	69	69	69	69					69		
Poison Jab	398	Poison	Physical	20	32	80	100%	4.17	0	Selected	Poisons Foe		30%					84	84	84	84	84	84		26		57	84		83
Dark Pulse	399	Dark	Special	15	24	80	100%	4.17	0	Selected	Flinches Foe		20%					79	79		97	97	97		20		58	79		94
Night Slash	400	Dark	Physical	15	24	70	100%	12.5	0	Selected																				
Aqua Tail	401	Water	Physical	10	16	90	90%	4.17	0	Selected																				
Seed Bomb	402	Grass	Physical	15	24	80	100%	4.17	0	Selected																	59			71
Air Slash	403	Flying	Special	15	24	75	95%	4.17	0	Selected	Flinches Foe		30%													95				65
X-Scissor	404	Bug	Physical	15	24	80	100%	4.17	0	Selected								81	81	81	81	81	81		24		60	81		105
Bug Buzz	405	Bug	Special	10	16	90	100%	4.17	0	Selected	Lowers Foe's Sp. Def by 1		10%														61	62		162
Dragon Pulse	406	Dragon	Special	10	16	85	100%	4.17	0	Selected								59	59						34		62	59		115
Dragon Rush	407	Dragon	Physical	10	16	100	75%	4.17	0	Selected	Flinches Foe		20%																	
Power Gem	408	Rock	Special	20	32	80	100%	4.17	0	Selected																	63			101
Drain Punch	409	Fighting	Physical	10	16	75	100%	4.17	0	Selected	50% Lifesteal		100%					60	60							63		60		73
Vacuum Wave	410	Fighting	Special	30	48	40	100%	4.17	1	Selected																				184
Focus Blast	411	Fighting	Special	5	8	120	70%	4.17	0	Selected	Lowers Foe's Sp. Def by 1		10%					52	52	52	52	52	52				64	52		158
Energy Ball	412	Grass	Special	10	16	90	100%	4.17	0	Selected	Lowers Foe's Sp. Def by 1		10%					53	53	53	53	53	53				65	53		119
Brave Bird	413	Flying	Physical	15	24	120	100%	4.17	0	Selected	33% Recoil		100%														66			164
Earth Power	414	Ground	Special	10	16	90	100%	4.17	0	Selected	Lowers Foe's Sp. Def by 1		10%														67			133
Switcheroo	415	Dark	Status	10	16	0	100%	None	0	Selected																				
Giga Impact	416	Normal	Physical	5	8	150	90%	4.17	0	Selected	User Can Not Attack Next Turn		100%					68	68	68	68	68	68			9		68		152
Nasty Plot	417	Dark	Status	20	32	0	101%	None	0	Selected	Raises User's Sp. Atk by 2		100%														68	63		140
Bullet Punch	418	Steel	Physical	30	48	40	100%	4.17	1	Selected																				
Avalanche	419	Ice	Physical	10	16	60	100%	4.17	-4	Selected	100% Damage if User was Hit This Turn		100%					72	72							64		72		46
Ice Shard	420	Ice	Physical	30	48	40	100%	4.17	1	Selected																				
Shadow Claw	421	Ghost	Physical	15	24	70	100%	12.5	0	Selected								65	65							65		65		61
Thunder Fang	422	Electric	Physical	15	24	65	95%	4.17	0	Selected	Paralyzes or Flinches Foe		10%													66				9
Ice Fang	423	Ice	Physical	15	24	65	95%	4.17	0	Selected	Freezes or Flinches Foe		10%													67				10
Fire Fang	424	Fire	Physical	15	24	65	95%	4.17	0	Selected	Burns or Flinches Foe		10%													68				8
Shadow Sneak	425	Ghost	Physical	30	48	40	100%	4.17	1	Selected																				
Mud Bomb	426	Ground	Special	10	16	65	85%	4.17	0	Selected	Lowers Foe's Accuracy by 1		30%																	
Psycho Cut	427	Psychic	Physical	20	32	70	100%	12.5	0	Selected																69				
Zen Headbutt	428	Psychic	Physical	15	24	80	90%	4.17	0	Selected	Flinches Foe		20%														69			59
Mirror Shot	429	Steel	Special	10	16	65	85%	4.17	0	Selected	Lowers Foe's Accuracy by 1		30%																	
Flash Cannon	430	Steel	Special	10	16	80	100%	4.17	0	Selected	Lowers Foe's Sp. Def by 1		10%					91	91	91	91	91	91		54		70	91		93
Rock Climb	431	Normal	Physical	20	32	90	85%	4.17	0	Selected	Confuses Foe		20%															100		
Defog	432	Flying	Status	15	24	0	101%	None	0	Selected	Removes Screens; Lowers Foe's Evasion by 1		100%															97		
Trick Room	433	Psychic	Status	5	8	0	101%	None	-7	All								92	92	92	92	92	92			70		92		161
Draco Meteor	434	Dragon	Special	5	8	130	90%	4.17	0	Selected	Lowers User's Sp. Atk by 2		100%																	169
Discharge	435	Electric	Special	15	24	80	100%	4.17	0	All Adjacent	Paralyzes Foe		30%																	
Lava Plume	436	Fire	Special	15	24	80	100%	4.17	0	All Adjacent	Burns Foe		30%																	
Leaf Storm	437	Grass	Special	5	8	130	90%	4.17	0	Selected	Lowers User's Sp. Atk by 2		100%														71			159
Power Whip	438	Grass	Physical	10	16	120	85%	4.17	0	Selected																	72			
Rock Wrecker	439	Rock	Physical	5	8	150	90%	4.17	0	Selected																				
Cross Poison	440	Poison	Physical	20	32	70	100%	12.5	0	Selected	Poisons Foe		10%													73				
Gunk Shot	441	Poison	Physical	5	8	120	80%	4.17	0	Selected	Poisons Foe		30%														73			102
Iron Head	442	Steel	Physical	15	24	80	100%	4.17	0	Selected	Flinches Foe		30%														74			99
Magnet Bomb	443	Steel	Physical	20	32	60	101%	4.17	0	Selected	Can Not Miss		100%																	
Stone Edge	444	Rock	Physical	5	8	100	80%	12.5	0	Selected								71	71	71	71	71	71				75	71		150
Captivate	445	Normal	Status	20	32	0	100%	None	0	Adjacent Foes	Lowers Foe's Sp. Atk by 2 if Opposite Gender		100%					78	78											
Stealth Rock	446	Rock	Status	20	32	0	101%	None	0	All Foes								76	76						56		76	76		116
Grass Knot	447	Grass	Special	20	32	0	100%	4.17	0	Selected	Higher Power the Heavier the Foe		100%					86	86	86	86	86	86				77	86		81
Chatter	448	Flying	Special	20	32	65	100%	4.17	0	Selected	Confuses Foe		100%																	
Judgment	449	Normal	Special	10	16	100	100%	4.17	0	Selected	Move Type Depends on Plate Held		100%																	
Bug Bite	450	Bug	Physical	20	32	60	100%	4.17	0	Selected	Steals Foe's Berry and Eats it		100%																	182
Charge Beam	451	Electric	Special	10	16	50	90%	4.17	0	Selected	Raises User's Sp. Atk by 1		70%					57	57	57	57	57	57					57		23
Wood Hammer	452	Grass	Physical	15	24	120	100%	4.17	0	Selected																				
Aqua Jet	453	Water	Physical	20	32	40	100%	4.17	1	Selected																				
Attack Order	454	Bug	Physical	15	24	90	100%	12.5	0	Selected																				
Defend Order	455	Bug	Status	10	16	0	101%	None	0	Selected	Raises User's Def and Sp. Def by 1		100%																	
Heal Order	456	Bug	Status	10	16	0	101%	None	0	Selected	Heals 50% HP		100%																	
Head Smash	457	Rock	Physical	5	8	150	80%	4.17	0	Selected	50% Recoil		100%																	
Double Hit	458	Normal	Physical	10	16	35	90%	4.17	0	Selected	Hits 2 Times		100%																	
Roar of Time	459	Dragon	Special	5	8	150	90%	4.17	0	Selected																				
Spacial Rend	460	Dragon	Special	5	8	100	95%	12.5	0	Selected																				
Lunar Dance	461	Psychic	Status	10	16	0	101%	None	0	Selected	Completely Heals a Party Ally; User Faints		100%																	
Crush Grip	462	Normal	Physical	5	8	0	100%	4.17	0	Selected	BP = 120 * (Foe's HP / Foe's Max HP)		100%																	
Magma Storm	463	Fire	Special	5	8	100	75%	4.17	0	Selected	Traps Foe		100%																	
Dark Void	464	Dark	Status	10	16	0	50%	None	0	Adjacent Foes	Sleeps Foe		100%																	
Seed Flare	465	Grass	Special	5	8	120	85%	4.17	0	Selected	Lowers Foe's Sp. Def by 2		40%																	
Ominous Wind	466	Ghost	Special	5	8	60	100%	4.17	0	Selected	Raises All of User's Stats by 1		10%																	
Shadow Force	467	Ghost	Physical	5	8	120	100%	4.17	0	Selected																				
Hone Claws	468	Dark	Status	15	24	0	101%	None	0	Selected	Raises User's Atk and Accuracy by 1		100%							1	1	1								
Wide Guard	469	Rock	Status	10	16	0	101%	None	3	All Allies																				
Guard Split	470	Psychic	Status	10	16	0	101%	None	0	Selected	Evenly Distributes Def and Sp. Def with User and Foe		100%																	
Power Split	471	Psychic	Status	10	16	0	101%	None	0	Selected																				
Wonder Room	472	Psychic	Status	10	16	0	101%	None	0	All																71				
Psyshock	473	Psychic	Special	10	16	80	100%	4.17	0	Selected										3	3	3	3				25			54
Venoshock	474	Poison	Special	10	16	65	100%	4.17	0	Selected										9	9	9	9			74				45
Autotomize	475	Steel	Status	15	24	0	101%	None	0	Self	Raises User's Spd by 2; Reduces Weight by 100kg		100%																	
Rage Powder	476	Bug	Status	20	32	0	101%	None	2	Selected																				
Telekinesis	477	Psychic	Status	15	24	0	101%	None	0	Selected										19										
Magic Room	478	Psychic	Status	10	16	0	101%	None	0	All	Negates All Held Items		100%													72				
Smack Down	479	Rock	Physical	15	24	50	100%	4.17	0	Selected										23	23	23	23							179
Storm Throw	480	Fighting	Physical	10	16	60	100%	100	0	Selected																				
Flame Burst	481	Fire	Special	15	24	70	100%	4.17	0	Selected	Deals 1/16 HP to Foe Every Turn		100%																	
Sludge Wave	482	Poison	Special	10	16	95	100%	4.17	0	All Adjacent	Poisons Foe		10%							34	34	34	34				78			214
Quiver Dance	483	Bug	Status	20	32	0	101%	None	0	Selected	Raises User's Sp. Atk, Ap. Def, Spd by 1		100%																	
Heavy Slam	484	Steel	Physical	10	16	0	100%	4.17	0	Selected	Power Increases the Heavier the User is than the Foe		100%														79			121
Synchronoise	485	Psychic	Special	10	16	120	100%	4.17	0	All Adjacent																				
Electro Ball	486	Electric	Special	10	16	0	100%	4.17	0	Selected	Power Increases the Faster the User is than the Foe		100%														80			72
Soak	487	Water	Status	20	32	0	100%	None	0	Selected	Foe Gains the Water-Type																			
Flame Charge	488	Fire	Physical	20	32	50	100%	4.17	0	Selected	Raises User's Spd by 1		100%							43	43	43	43							38
Coil	489	Poison	Status	20	32	0	101%	None	0	Selected	Raises User's Atk, Def, Accuracy by 1		100%																	
Low Sweep	490	Fighting	Physical	20	32	65	100%	4.17	0	Selected	Lowers Foe's Spd by 1		100%													75		27		39
Acid Spray	491	Poison	Special	20	32	40	100%	4.17	0	Selected	Lowers Foe's Sp. Def by 2		100%																	13
Foul Play	492	Dark	Physical	15	24	95	100%	4.17	0	Selected	Uses Foe's Atk Stat for Damage Instead of Atk Stat		100%												21		81			62
Simple Beam	493	Normal	Status	15	24	0	100%	None	0	Selected																				
Entrainment	494	Normal	Status	15	24	0	100%	None	0	Selected	Changes Foe's Ability to Match the User's		100%																	
After You	495	Normal	Status	15	24	0	101%	None	0	Selected	Target Moves Right After User		100%																	
Round	496	Normal	Special	15	24	60	100%	4.17	0	Selected										48	48	48	48			76				
Echoed Voice	497	Normal	Special	15	24	40	100%	4.17	0	Selected	Power Increases if Used Consecutively by Any Pokemon		100%							49	49	49	49							
Chip Away	498	Normal	Physical	20	32	70	100%	4.17	0	Selected	Ignores Stat Changes		100%																	
Clear Smog	499	Poison	Special	15	24	50	101%	4.17	0	Selected	Resets All Stat Changes		100%																	
Stored Power	500	Psychic	Special	10	16	20	100%	4.17	0	Selected																	82			41
Quick Guard	501	Fighting	Status	15	24	0	101%	None	3	All Allies																				
Ally Switch	502	Psychic	Status	15	24	0	101%	None	2	Self	Switches Place With Ally	Success: 1 / ((Successive Use)-1)^3)	--%							51							83			
Scald	503	Water	Special	15	24	80	100%	4.17	0	Selected	Burns Foe		30%							55	55	55	55		29		84	49		188
Shell Smash	504	Normal	Status	15	24	0	101%	None	0	Selected	Lowers User's Def and Sp. Def by 1; Raises User's Atk, Sp. Atk, Spd by 2		100%																	
Heal Pulse	505	Psychic	Status	10	16	0	101%	None	0	Selected	Heals Target 50% HP		100%																	
Hex	506	Ghost	Special	10	16	65	100%	4.17	0	Selected	100% if Foe is Statused		100%													77				29
Sky Drop	507	Flying	Physical	10	16	60	100%	4.17	0	Selected										58	58	58	58							
Shift Gear	508	Steel	Status	10	16	0	101%	None	0	Selected	Raises User's Atk by 1, Spd by 2		100%																	
Circle Throw	509	Fighting	Physical	10	16	60	90%	4.17	-6	Selected	Foe Switches Out		100%																	
Incinerate	510	Fire	Special	15	24	60	100%	4.17	0	Adjacent Foes	Removes Foe's Held Berry		100%							59	59	59								
Quash	511	Dark	Status	15	24	0	100%	None	0	Selected										60	60	60	60							
Acrobatics	512	Flying	Physical	15	24	55	100%	4.17	0	Selected	100% Damage if User is Not Holding an Item									62	62	62	62			78				14
Reflect Type	513	Normal	Status	15	24	0	101%	None	0	Selected																				
Retaliate	514	Normal	Physical	5	8	70	100%	4.17	0	Selected										67	67	67				79				
Final Gambit	515	Fighting	Special	5	8	0	100%	4.17	0	Selected	User Faints; Damage is Equal to User's HP		100%																	
Bestow	516	Normal	Status	15	24	0	101%	None	0	Selected	Passes Held Item to Target		100%																	
Inferno	517	Fire	Special	5	8	100	50%	4.17	0	Selected	Burns Foe		100%																	
Water Pledge	518	Water	Special	10	16	80	100%	4.17	0	Selected	If Used with Grass Pledge, Activates Swamp; If Used with Fire Pledge, Activates Rainbow		100%																	145
Fire Pledge	519	Fire	Special	10	16	80	100%	4.17	0	Selected	If Used with Water Pledge, Activates Rainbow; If Used with Grass Pledge, Activates Sea of FIre		100%																	144
Grass Pledge	520	Grass	Special	10	16	80	100%	4.17	0	Selected	If Used with Water Pledge, Activates Swamp; If Used with Fire Pledge, Activates Sea of FIre		100%																	146
